"","ttm","logm","quote_date","expiry","m","name","w","call","put","iv"
"185",0.06,0,2019-01-01,2019-01-22,1,"Prior",0.000442654971266165,NA,NA,0.0875880316035026
"186",0.06,0,2019-01-01,2019-01-22,1,"Prior x NN Model",0.000436050118878484,NA,NA,0.0869321254464411
"187",0.06,0.0247,2019-01-01,2019-01-22,1.02500757212284,"Data",0.000308944973590236,NA,NA,0.0731733031776233
"188",0.06,0.0247,2019-01-01,2019-01-22,1.02500757212284,"Prior",0.00056744139874354,NA,NA,0.0991682392011972
"189",0.06,0.0247,2019-01-01,2019-01-22,1.02500757212284,"Prior x NN Model",0.00030641580815427,NA,NA,0.0728731725312595
"190",0.06,0.0488,2019-01-01,2019-01-22,1.05001032767289,"Data",0.000551789042397968,NA,NA,0.0977909419414089
"191",0.06,0.0488,2019-01-01,2019-01-22,1.05001032767289,"Prior",0.000906742643564939,NA,NA,0.125358594379621
"192",0.06,0.0488,2019-01-01,2019-01-22,1.05001032767289,"Prior x NN Model",0.000561578664928675,NA,NA,0.0986546121295457
"193",0.06,0.0953,2019-01-01,2019-01-22,1.09998880227224,"Data",0.00145168797095535,NA,NA,0.158616635103747
"194",0.06,0.0953,2019-01-01,2019-01-22,1.09998880227224,"Prior",0.00159452459774911,NA,NA,0.166237004691357
"195",0.06,0.0953,2019-01-01,2019-01-22,1.09998880227224,"Prior x NN Model",0.00146615190897137,NA,NA,0.159404867451619
"196",0.06,0.1823,2019-01-01,2019-01-22,1.19997413212607,"Data",0.00368318387550565,NA,NA,0.252652612750658
"197",0.06,0.1823,2019-01-01,2019-01-22,1.19997413212607,"Prior",0.00289650168269873,NA,NA,0.22405208305657
"198",0.06,0.1823,2019-01-01,2019-01-22,1.19997413212607,"Prior x NN Model",0.0036809085868299,NA,NA,0.252574562556152
"199",0.06,0.2624,2019-01-01,2019-01-22,1.30004645702234,"Data",0.00587370628827298,NA,NA,0.319056947924028
"200",0.06,0.2624,2019-01-01,2019-01-22,1.30004645702234,"Prior",0.00409834599122405,NA,NA,0.266511775933051
"201",0.06,0.2624,2019-01-01,2019-01-22,1.30004645702234,"Prior x NN Model",0.00590606825426221,NA,NA,0.319934683928268
"202",0.06,0.4055,2019-01-01,2019-01-22,1.50005233875085,"Data",0.00945654015025769,NA,NA,0.404835164484361
"203",0.06,0.4055,2019-01-01,2019-01-22,1.50005233875085,"Prior",0.00624717911705375,NA,NA,0.329044073079369
"204",0.06,0.4055,2019-01-01,2019-01-22,1.50005233875085,"Prior x NN Model",0.00939770415425301,NA,NA,0.403573812865414
"205",0.06,0.5596,2019-01-01,2019-01-22,1.74997237133111,"Data",0.0131001173917601,NA,NA,0.476485497855447
"206",0.06,0.5596,2019-01-01,2019-01-22,1.74997237133111,"Prior",0.00856198370456696,NA,NA,0.385211542516787
"207",0.06,0.5596,2019-01-01,2019-01-22,1.74997237133111,"Prior x NN Model",0.0134646156802773,NA,NA,0.483068895414631
"208",0.06,0.6931,2019-01-01,2019-01-22,1.99990564110608,"Data",0.0186227124448205,NA,NA,0.568111475818811
"209",0.06,0.6931,2019-01-01,2019-01-22,1.99990564110608,"Prior",0.0105675971135497,NA,NA,0.427957081570539
"210",0.06,0.6931,2019-01-01,2019-01-22,1.99990564110608,"Prior x NN Model",0.0191695839166641,NA,NA,0.576392653281375
"211",0.06,0.9163,2019-01-01,2019-01-22,2.50002317042199,"Data",0.0316144046743844,NA,NA,0.740209402598145
"212",0.06,0.9163,2019-01-01,2019-01-22,2.50002317042199,"Prior",0.0139210307970643,NA,NA,0.491188047889329
"213",0.06,0.9163,2019-01-01,2019-01-22,2.50002317042199,"Prior x NN Model",0.0319964773952961,NA,NA,0.744668832857297
"214",0.06,1.0986,2019-01-01,2019-01-22,2.99996313422219,"Data",0.0446235304366611,NA,NA,0.879415380454884
"215",0.06,1.0986,2019-01-01,2019-01-22,2.99996313422219,"Prior",0.0166600774973631,NA,NA,0.537341770630045
"216",0.06,1.0986,2019-01-01,2019-01-22,2.99996313422219,"Prior x NN Model",0.0442265942692757,NA,NA,0.875495346487089
"217",0.08,-1.204,2019-01-01,2019-01-31,0.29999184140872,"Data",0.0577189590335368,NA,NA,0.832408956145085
"218",0.08,-1.204,2019-01-01,2019-01-31,0.29999184140872,"Prior",0.0382616072893143,NA,NA,0.67773373582731
